at,poolName,pair,endBlock,priceBaseInQuote,riskScore,riskStatus,trend,deltaScore,events,syncBlock,syncAgeBlocks,flowStatus,flowNetQuote,flowGrossQuote,flowNetPct,flowGrossPct,l1Status,l1NetLiq15Quote,l1Churn15Quote,m1Status,m1BouncePairs,m1ClassicCandidates,m1ReversalPairs,volStatus,volShort,volLong
2026-02-27 08:16:37,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547011,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,49,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,,
2026-02-27 08:17:10,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547013,2039.091692720309,33,ELEVATED,FLAT,0,,24547007,6,ELEVATED,24519377210,24519377210,0.26891746278143996,0.26891746278143996,OK,0,0,OK,0,0,0,OK,,
2026-02-27 08:17:10,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547013,0.030124611575343806,28,ELEVATED,FLAT,0,STATE_STALE,24546964,49,OK,21,21,3.518694770777371e-7,3.518694770777371e-7,OK,0,0,OK,0,0,0,OK,,
2026-02-27 08:17:10,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547013,2038.3127222894875,55,HIGH,FLAT,0,MEV_SWARM,24547003,10,ELEVATED,18269687211,21320121529,0.2511032682321498,0.29302922010701954,OK,0,0,HIGH,12,0,1,OK,,
2026-02-27 08:17:10,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547013,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,51,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,,
2026-02-27 08:18:11,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547018,2039.091692720309,33,ELEVATED,FLAT,0,,24547007,11,ELEVATED,24518926857,24518926857,0.2689125235129961,0.2689125235129961,OK,0,0,OK,0,0,0,OK,,
2026-02-27 08:18:11,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547018,0.030124612795027438,23,OK,FALLING,-5,,24547014,4,OK,142,142,0.000002379307844381888,0.000002379307844381888,OK,0,0,OK,0,0,0,OK,,
2026-02-27 08:18:11,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547018,2038.3127222894875,55,HIGH,FLAT,0,MEV_SWARM,24547003,15,ELEVATED,18269687211,21320121529,0.2511032682321498,0.29302922010701954,OK,0,0,HIGH,12,0,1,OK,,
2026-02-27 08:18:11,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547018,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,56,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,,
2026-02-27 08:18:43,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547021,2039.091692720309,33,ELEVATED,FLAT,0,,24547007,14,ELEVATED,24518926857,24518926857,0.2689125235129961,0.2689125235129961,OK,0,0,OK,0,0,0,OK,,
